Annee;Subdivision;Sexe;Age quinquennal 80;Population
1988;Tuamotu-Gambier;Femme;40-44 ans;149
1988;Tuamotu-Gambier;Femme;45-49 ans;179
1988;Tuamotu-Gambier;Femme;50-54 ans;152
1988;Tuamotu-Gambier;Femme;55-59 ans;125
1988;Tuamotu-Gambier;Femme;60-64 ans;83
1988;Tuamotu-Gambier;Femme;65-69 ans;83
1988;Tuamotu-Gambier;Femme;70-74 ans;61
1988;Tuamotu-Gambier;Femme;75-79 ans;27
1988;Tuamotu-Gambier;Femme;80 ans et plus;23
1996;Iles Du Vent;Homme;Moins de 5 ans;8 292
1996;Iles Du Vent;Homme;5-9 ans;9 634
1996;Iles Du Vent;Homme;10-14 ans;8 951
1996;Iles Du Vent;Homme;15-19 ans;7 716
1996;Iles Du Vent;Homme;20-24 ans;7 177
1996;Iles Du Vent;Homme;25-29 ans;7 617
1996;Iles Du Vent;Homme;30-34 ans;7 197
1996;Iles Du Vent;Homme;35-39 ans;6 117
1996;Iles Du Vent;Homme;40-44 ans;5 455
1996;Iles Du Vent;Homme;45-49 ans;4 139
1996;Iles Du Vent;Homme;50-54 ans;3 529
1996;Iles Du Vent;Homme;55-59 ans;2 567
1996;Iles Du Vent;Homme;60-64 ans;1 978
1996;Iles Du Vent;Homme;65-69 ans;1 296
1996;Iles Du Vent;Homme;70-74 ans;798
1996;Iles Du Vent;Homme;75-79 ans;392
1996;Iles Du Vent;Homme;80 ans et plus;296
1996;Iles Du Vent;Femme;Moins de 5 ans;7 734
1996;Iles Du Vent;Femme;5-9 ans;9 003
1996;Iles Du Vent;Femme;10-14 ans;8 661
1996;Iles Du Vent;Femme;15-19 ans;7 533
1996;Iles Du Vent;Femme;20-24 ans;7 012
1996;Iles Du Vent;Femme;25-29 ans;7 450
1996;Iles Du Vent;Femme;30-34 ans;7 000
1996;Iles Du Vent;Femme;35-39 ans;5 785
1996;Iles Du Vent;Femme;40-44 ans;5 163
1996;Iles Du Vent;Femme;45-49 ans;3 690
1996;Iles Du Vent;Femme;50-54 ans;3 049
1996;Iles Du Vent;Femme;55-59 ans;2 331
1996;Iles Du Vent;Femme;60-64 ans;1 867
1996;Iles Du Vent;Femme;65-69 ans;1 292
1996;Iles Du Vent;Femme;70-74 ans;933
1996;Iles Du Vent;Femme;75-79 ans;488
1996;Iles Du Vent;Femme;80 ans et plus;544
1996;Iles Sous-Le-Vent;Homme;Moins de 5 ans;1 486
1996;Iles Sous-Le-Vent;Homme;5-9 ans;1 729
1996;Iles Sous-Le-Vent;Homme;10-14 ans;1 644
1996;Iles Sous-Le-Vent;Homme;15-19 ans;1 389
1996;Iles Sous-Le-Vent;Homme;20-24 ans;1 168
1996;Iles Sous-Le-Vent;Homme;25-29 ans;1 210
1996;Iles Sous-Le-Vent;Homme;30-34 ans;1 079
1996;Iles Sous-Le-Vent;Homme;35-39 ans;916
1996;Iles Sous-Le-Vent;Homme;40-44 ans;757
1996;Iles Sous-Le-Vent;Homme;45-49 ans;559
1996;Iles Sous-Le-Vent;Homme;50-54 ans;547
1996;Iles Sous-Le-Vent;Homme;55-59 ans;470
1996;Iles Sous-Le-Vent;Homme;60-64 ans;375
1996;Iles Sous-Le-Vent;Homme;65-69 ans;287
1996;Iles Sous-Le-Vent;Homme;70-74 ans;169
1996;Iles Sous-Le-Vent;Homme;75-79 ans;101
1996;Iles Sous-Le-Vent;Homme;80 ans et plus;73
1996;Iles Sous-Le-Vent;Femme;Moins de 5 ans;1 457
1996;Iles Sous-Le-Vent;Femme;5-9 ans;1 603
1996;Iles Sous-Le-Vent;Femme;10-14 ans;1 554
1996;Iles Sous-Le-Vent;Femme;15-19 ans;1 284
1996;Iles Sous-Le-Vent;Femme;20-24 ans;1 098
1996;Iles Sous-Le-Vent;Femme;25-29 ans;1 068
1996;Iles Sous-Le-Vent;Femme;30-34 ans;996
1996;Iles Sous-Le-Vent;Femme;35-39 ans;831
1996;Iles Sous-Le-Vent;Femme;40-44 ans;680
1996;Iles Sous-Le-Vent;Femme;45-49 ans;482
1996;Iles Sous-Le-Vent;Femme;50-54 ans;489
1996;Iles Sous-Le-Vent;Femme;55-59 ans;409
1996;Iles Sous-Le-Vent;Femme;60-64 ans;318
1996;Iles Sous-Le-Vent;Femme;65-69 ans;222
1996;Iles Sous-Le-Vent;Femme;70-74 ans;191
1996;Iles Sous-Le-Vent;Femme;75-79 ans;105
1996;Iles Sous-Le-Vent;Femme;80 ans et plus;92
1996;Marquises;Homme;Moins de 5 ans;466
1996;Marquises;Homme;5-9 ans;626
1996;Marquises;Homme;10-14 ans;586
1996;Marquises;Homme;15-19 ans;458
1996;Marquises;Homme;20-24 ans;323
1996;Marquises;Homme;25-29 ans;319
1996;Marquises;Homme;30-34 ans;327
1996;Marquises;Homme;35-39 ans;263
1996;Marquises;Homme;40-44 ans;257
1996;Marquises;Homme;45-49 ans;158
1996;Marquises;Homme;50-54 ans;122
1996;Marquises;Homme;55-59 ans;125
1996;Marquises;Homme;60-64 ans;107
1996;Marquises;Homme;65-69 ans;69
1996;Marquises;Homme;70-74 ans;44
1996;Marquises;Homme;75-79 ans;28
1996;Marquises;Homme;80 ans et plus;9
1996;Marquises;Femme;Moins de 5 ans;422
1996;Marquises;Femme;5-9 ans;602
1996;Marquises;Femme;10-14 ans;588
1996;Marquises;Femme;15-19 ans;358
1996;Marquises;Femme;20-24 ans;262
1996;Marquises;Femme;25-29 ans;276
1996;Marquises;Femme;30-34 ans;304
1996;Marquises;Femme;35-39 ans;222
1996;Marquises;Femme;40-44 ans;186
1996;Marquises;Femme;45-49 ans;139
1996;Marquises;Femme;50-54 ans;104
1996;Marquises;Femme;55-59 ans;101
1996;Marquises;Femme;60-64 ans;88
1996;Marquises;Femme;65-69 ans;54
1996;Marquises;Femme;70-74 ans;40
1996;Marquises;Femme;75-79 ans;23
1996;Marquises;Femme;80 ans et plus;8
1996;Australes;Homme;Moins de 5 ans;380
1996;Australes;Homme;5-9 ans;494
1996;Australes;Homme;10-14 ans;422
1996;Australes;Homme;15-19 ans;335
1996;Australes;Homme;20-24 ans;268
1996;Australes;Homme;25-29 ans;253
1996;Australes;Homme;30-34 ans;242
1996;Australes;Homme;35-39 ans;211
1996;Australes;Homme;40-44 ans;193
1996;Australes;Homme;45-49 ans;134
1996;Australes;Homme;50-54 ans;114
1996;Australes;Homme;55-59 ans;103
1996;Australes;Homme;60-64 ans;115
1996;Australes;Homme;65-69 ans;80
1996;Australes;Homme;70-74 ans;61
1996;Australes;Homme;75-79 ans;26
1996;Australes;Homme;80 ans et plus;13
1996;Australes;Femme;Moins de 5 ans;333
1996;Australes;Femme;5-9 ans;443
1996;Australes;Femme;10-14 ans;400
1996;Australes;Femme;15-19 ans;294
1996;Australes;Femme;20-24 ans;237
1996;Australes;Femme;25-29 ans;254
1996;Australes;Femme;30-34 ans;229
1996;Australes;Femme;35-39 ans;186
1996;Australes;Femme;40-44 ans;171
1996;Australes;Femme;45-49 ans;97
1996;Australes;Femme;50-54 ans;127
1996;Australes;Femme;55-59 ans;99
1996;Australes;Femme;60-64 ans;81
1996;Australes;Femme;65-69 ans;79
1996;Australes;Femme;70-74 ans;40
1996;Australes;Femme;75-79 ans;31
1996;Australes;Femme;80 ans et plus;18
1996;Tuamotu-Gambier;Homme;Moins de 5 ans;888
1996;Tuamotu-Gambier;Homme;5-9 ans;990
1996;Tuamotu-Gambier;Homme;10-14 ans;789
1996;Tuamotu-Gambier;Homme;15-19 ans;724
1996;Tuamotu-Gambier;Homme;20-24 ans;1 042
1996;Tuamotu-Gambier;Homme;25-29 ans;1 078
1996;Tuamotu-Gambier;Homme;30-34 ans;914
1996;Tuamotu-Gambier;Homme;35-39 ans;683
1996;Tuamotu-Gambier;Homme;40-44 ans;597
1996;Tuamotu-Gambier;Homme;45-49 ans;294
1996;Tuamotu-Gambier;Homme;50-54 ans;282
1996;Tuamotu-Gambier;Homme;55-59 ans;244
1996;Tuamotu-Gambier;Homme;60-64 ans;198
1996;Tuamotu-Gambier;Homme;65-69 ans;138
1996;Tuamotu-Gambier;Homme;70-74 ans;77
1996;Tuamotu-Gambier;Homme;75-79 ans;34
1996;Tuamotu-Gambier;Homme;80 ans et plus;19
1996;Tuamotu-Gambier;Femme;Moins de 5 ans;834
1996;Tuamotu-Gambier;Femme;5-9 ans;903
1996;Tuamotu-Gambier;Femme;10-14 ans;731
1996;Tuamotu-Gambier;Femme;15-19 ans;570
1996;Tuamotu-Gambier;Femme;20-24 ans;611
1996;Tuamotu-Gambier;Femme;25-29 ans;625
1996;Tuamotu-Gambier;Femme;30-34 ans;517
1996;Tuamotu-Gambier;Femme;35-39 ans;351
1996;Tuamotu-Gambier;Femme;40-44 ans;296
1996;Tuamotu-Gambier;Femme;45-49 ans;210
1996;Tuamotu-Gambier;Femme;50-54 ans;189
1996;Tuamotu-Gambier;Femme;55-59 ans;172
1996;Tuamotu-Gambier;Femme;60-64 ans;152
1996;Tuamotu-Gambier;Femme;65-69 ans;82
1996;Tuamotu-Gambier;Femme;70-74 ans;61
1996;Tuamotu-Gambier;Femme;75-79 ans;49
1996;Tuamotu-Gambier;Femme;80 ans et plus;26
2002;Iles Du Vent;Homme;Moins de 5 ans;8 592
2002;Iles Du Vent;Homme;5-9 ans;9 024
2002;Iles Du Vent;Homme;10-14 ans;9 912
2002;Iles Du Vent;Homme;15-19 ans;9 124
2002;Iles Du Vent;Homme;20-24 ans;7 416
2002;Iles Du Vent;Homme;25-29 ans;7 492
2002;Iles Du Vent;Homme;30-34 ans;8 105
2002;Iles Du Vent;Homme;35-39 ans;7 864
2002;Iles Du Vent;Homme;40-44 ans;6 504
2002;Iles Du Vent;Homme;45-49 ans;5 646
2002;Iles Du Vent;Homme;50-54 ans;4 225
2002;Iles Du Vent;Homme;55-59 ans;3 302
2002;Iles Du Vent;Homme;60-64 ans;2 524
2002;Iles Du Vent;Homme;65-69 ans;1 808
2002;Iles Du Vent;Homme;70-74 ans;1 096
2002;Iles Du Vent;Homme;75-79 ans;590
2002;Iles Du Vent;Homme;80 ans et plus;350
2002;Iles Du Vent;Femme;Moins de 5 ans;8 224
2002;Iles Du Vent;Femme;5-9 ans;8 365
2002;Iles Du Vent;Femme;10-14 ans;9 269
2002;Iles Du Vent;Femme;15-19 ans;9 462
2002;Iles Du Vent;Femme;20-24 ans;7 313
2002;Iles Du Vent;Femme;25-29 ans;7 344
2002;Iles Du Vent;Femme;30-34 ans;7 717
2002;Iles Du Vent;Femme;35-39 ans;7 683
2002;Iles Du Vent;Femme;40-44 ans;6 104
2002;Iles Du Vent;Femme;45-49 ans;5 215
2002;Iles Du Vent;Femme;50-54 ans;3 848
2002;Iles Du Vent;Femme;55-59 ans;2 978
2002;Iles Du Vent;Femme;60-64 ans;2 299
2002;Iles Du Vent;Femme;65-69 ans;1 732
